"Time","49016.mode"
Critical,Full
Critical,Full
Critical,Full
Critical,-23131
Critical,-23131
Critical,-23131
Critical,-23131
Critical,-23131
Critical,-23131
Critical,-23131
Critical,-23131
Critical,-23131
Critical,-23131
Critical,-23131
Critical,-23131
Critical,-23131
Critical,-23131
Critical,-23131
Critical,-23131
Critical,-23131
Critical,-23131
Critical,-23131
Critical,-23131
Critical,-23131
Critical,-23131
Critical,-23131
Critical,-23131
Critical,Full
Critical,Full
Critical,Full
Critical,Full
Critical,Full
Critical,Full
Critical,Full
Critical,Full
Critical,Full
Critical,Full
Critical,Full
Critical,Full
Critical,Full
Critical,Full
Critical,Full
Critical,Full
Critical,Full
Critical,Full
Critical,Full
Critical,Full
Critical,Full
Critical,Full
Critical,Full
Critical,Full
Critical,Full
Critical,Full
Critical,Full
Critical,Full
Critical,Full
Critical,-23131
Critical,-23131
Critical,-23131
Critical,-23131
Critical,-23131
Critical,-23131
Critical,-23131
Critical,-23131
Critical,-23131
Critical,-23131
Critical,-23131
Critical,-23131
Critical,-23131
Critical,-23131
Critical,-23131
Critical,-23131
Critical,-23131
Critical,-23131
Critical,-23131
Critical,-23131
Critical,-23131
Critical,-23131
Critical,-23131
Critical,-23131
Critical,-23131
Critical,-23131
Critical,-23131
Critical,Full
Critical,Full
Critical,Full
Critical,-23131
Critical,-23131
Critical,-23131
Critical,-23131
Critical,-23131
Critical,-23131
Critical,-23131
Critical,-23131
Critical,-23131
Critical,-23131
Critical,-23131
Critical,-23131
Critical,-23131
Critical,-23131
Critical,-23131
Critical,-23131
Critical,-23131
Critical,-23131
Critical,-23131
Critical,-23131
Critical,-23131
Critical,-23131
Critical,-23131
Critical,-23131
Critical,-23131
Critical,-23131
Critical,-23131
Critical,-23131
Critical,-23131
Critical,-23131
Critical,-23131
Critical,-23131

