Time,X
2023-11-12 03:00:00,75
2023-11-13 03:00:00,8137
2023-11-14 03:00:00,8641
2023-11-15 03:00:00,6439
2023-11-16 03:00:00,1805
2023-11-17 03:00:00,8230
2023-11-18 03:00:00,11085
2023-11-19 03:00:00,-988
2023-11-20 03:00:00,4710
2023-11-21 03:00:00,8643
2023-11-22 03:00:00,5939
2023-11-23 03:00:00,-1436
2023-11-24 03:00:00,9259
2023-11-25 03:00:00,9870
2023-11-26 03:00:00,9856
2023-11-27 03:00:00,9390
2023-11-28 03:00:00,9504
2023-11-29 03:00:00,8829
2023-11-30 03:00:00,9127
2023-12-01 03:00:00,9020
2023-12-02 03:00:00,9771
2023-12-03 03:00:00,8627
2023-12-04 03:00:00,8841
2023-12-05 03:00:00,9646
2023-12-06 03:00:00,9732
2023-12-07 03:00:00,8063
2023-12-08 03:00:00,8963
2023-12-09 03:00:00,9749
2023-12-10 03:00:00,9945
2023-12-11 03:00:00,10327
2023-12-12 03:00:00,9436
2023-12-13 03:00:00,9867
2023-12-14 03:00:00,10051
2023-12-15 03:00:00,10022
2023-12-16 03:00:00,10892
2023-12-17 03:00:00,9189
2023-12-18 03:00:00,9364
2023-12-19 03:00:00,7005
2023-12-20 03:00:00,9636
2023-12-21 03:00:00,10266
2023-12-22 03:00:00,9025
2023-12-23 03:00:00,8593
2023-12-24 03:00:00,10531
2023-12-25 03:00:00,8461
2023-12-26 03:00:00,9634
2023-12-27 03:00:00,9807
2023-12-28 03:00:00,10622
2023-12-29 03:00:00,4307
2023-12-30 03:00:00,10500
2023-12-31 03:00:00,8714
2024-01-01 03:00:00,8582
2024-01-02 03:00:00,7141
2024-01-03 03:00:00,10702
2024-01-04 03:00:00,8393
2024-01-05 03:00:00,9017
2024-01-06 03:00:00,8277
2024-01-07 03:00:00,9860
2024-01-08 03:00:00,10996
2024-01-09 03:00:00,17179
2024-01-10 03:00:00,1213
2024-01-11 03:00:00,1114
2024-01-12 03:00:00,10488
2024-01-13 03:00:00,11852
2024-01-14 03:00:00,8251
2024-01-15 03:00:00,8250
2024-01-16 03:00:00,9848
2024-01-17 03:00:00,9653
2024-01-18 03:00:00,9271
2024-01-19 03:00:00,10264
2024-01-20 03:00:00,10750
2024-01-21 03:00:00,10091
2024-01-22 03:00:00,6021
2024-01-23 03:00:00,11372
2024-01-24 03:00:00,10886
2024-01-25 03:00:00,11081
2024-01-26 03:00:00,10446
2024-01-27 03:00:00,9653
2024-01-28 03:00:00,9628
2024-01-29 03:00:00,9290
2024-01-30 03:00:00,10719
2024-01-31 03:00:00,9255
2024-02-01 03:00:00,9685
2024-02-02 03:00:00,8852
2024-02-03 03:00:00,11298
2024-02-04 03:00:00,10582
2024-02-05 03:00:00,10981
2024-02-06 03:00:00,9357
2024-02-07 03:00:00,10617
2024-02-08 03:00:00,7658
2024-02-09 03:00:00,8582
2024-02-10 03:00:00,8285
